file_name,version_number,relative_path
option_save_frame_cursor,1.4.0,_win/
options_frame_back,1.4.0,_win/
options_save_frame_black,1.4.0,_win/
options_save_icon_mute,1.4.0,_win/
options_save_icon_volume,1.4.0,_win/
options_save_volume_00,1.4.0,_win/
options_save_volume_01,1.4.0,_win/
0003a157.img_335003ac512d622e8ff81548074823df,1.4.0,_win/
0003a157.img_4344dd0f107c82e1ab241f4f84165e45,1.4.0,_win/
0003a157.img_e24452b395efe665c10dd879c9efd649,1.4.0,_win/
0003a157.img_f4d589d12767497bfeb21185f0ec710b,1.4.0,_win/
sna_rai_face_def.bmp,1.4.0,_win/
sna_rai_face_strip.bmp,1.4.0,_win/

sna_face_cell.bmp,1.5.0,_win/
sna_face_dam_max.bmp,1.5.0,_win/
sna_face_vr_def_hi.bmp,1.5.0,_win/
004a230b,1.5.0,ovr_stm/ctrltype_ps4/ovr_jp/_win/
00ddd547,1.5.0,ovr_stm/ctrltype_ps4/ovr_jp/_win/
004a230b,1.5.0,ovr_stm/ctrltype_ps5/ovr_jp/_win/
00ddd547,1.5.0,ovr_stm/ctrltype_ps5/ovr_jp/_win/
options_frame_back_small,1.5.0,_win/
options_line_00,1.5.0,_win/
004a230b,1.5.0,ovr_stm/ctrltype_ps4/_win/
00ddd547,1.5.0,ovr_stm/ctrltype_ps4/_win/
004a230b,1.5.0,ovr_stm/ctrltype_ps5/_win/
00ddd547,1.5.0,ovr_stm/ctrltype_ps5/_win/


loading_4k,2.0.0,Misc/loading/_win/
loading_fhd,2.0.0,Misc/loading/_win/
loading_jp_4k,2.0.0,Misc/loading/_win/
loading_jp_fhd,2.0.0,Misc/loading/_win/
loading_jp_wqhd,2.0.0,Misc/loading/_win/
loading_wqhd,2.0.0,Misc/loading/_win/
bluepoint_4k,2.0.0,Misc/splashscreen/_win/
bluepoint_fhd,2.0.0,Misc/splashscreen/_win/
bluepoint_wqhd,2.0.0,Misc/splashscreen/_win/
kojima_4k,2.0.0,Misc/splashscreen/_win/
kojima_fhd,2.0.0,Misc/splashscreen/_win/
kojima_wqhd,2.0.0,Misc/splashscreen/_win/
konami_4k,2.0.0,Misc/splashscreen/_win/
konami_fhd,2.0.0,Misc/splashscreen/_win/
konami_wqhd,2.0.0,Misc/splashscreen/_win/

mgs3_keycon_arrow_l,2.0.0,_win/
mgs3_keycon_arrow_r,2.0.0,_win/
mgs3_keycon_check,2.0.0,_win/
mgs3_keycon_list_base_00,2.0.0,_win/
mgs3_keycon_list_base_01,2.0.0,_win/
mgs3_keycon_list_base_03,2.0.0,_win/
mgs3_keycon_list_base_04,2.0.0,_win/
mgs3_keycon_list_base_05,2.0.0,_win/
mgs3_keycon_type_base_00,2.0.0,_win/
00999367.img,2.0.0,ovr_stm/ctrltype_kbd/type_a/_win/
00e786c5.img,2.0.0,ovr_stm/ctrltype_kbd/type_a/_win/
00999367.img,2.0.0,ovr_stm/ctrltype_kbd/type_b/_win/
00e786c5.img,2.0.0,ovr_stm/ctrltype_kbd/type_b/_win/
0003a157.img_40340683d6a287e2af39d3760e2162ee,2.0.0,_win/
0003a157.img_56df4e5f35dee2941e00cbdcacd04fd1,2.0.0,_win/
0003a157.img_8e47400085fdb32a4b0d7074929174f7,2.0.0,_win/
0003a157.img_e4856e14c95d0d7d93a4ef11546df433,2.0.0,_win/
0003a157.img_f4d589d12767497bfeb21185f0ec710b,2.0.0,_win/
0003a157.img_f86a2cbae5c969c4f37a6ef62ff21901,2.0.0,_win/
00051138,2.0.0,_win/
00171f0a,2.0.0,_win/
0033d231,2.0.0,_win/
0033d232,2.0.0,_win/
0033d233,2.0.0,_win/
0033d234,2.0.0,_win/
0033d235,2.0.0,_win/
0033d236,2.0.0,_win/
0033d237,2.0.0,_win/
0033d238,2.0.0,_win/
0033d239,2.0.0,_win/
0033d250,2.0.0,_win/
0033d251,2.0.0,_win/
0033d252,2.0.0,_win/
0033d253,2.0.0,_win/
0033d254,2.0.0,_win/
0033d255,2.0.0,_win/
0033d256,2.0.0,_win/
0033d257,2.0.0,_win/
0033d258,2.0.0,_win/
0033d259,2.0.0,_win/
0033d270,2.0.0,_win/
0033d271,2.0.0,_win/
0033d272,2.0.0,_win/
0033d273,2.0.0,_win/
0033d274,2.0.0,_win/
0033d275,2.0.0,_win/
0033d277,2.0.0,_win/
0033d279,2.0.0,_win/
0033d290,2.0.0,_win/
0033d294,2.0.0,_win/
0033d296,2.0.0,_win/
0033d297,2.0.0,_win/
0033d2b1,2.0.0,_win/
0033d2b2,2.0.0,_win/
0033d2b3,2.0.0,_win/
0033d2b4,2.0.0,_win/
0033d2b5,2.0.0,_win/
0033d2b6,2.0.0,_win/
0033d2b9,2.0.0,_win/
0033d2d0,2.0.0,_win/
0033d2d1,2.0.0,_win/
0033d2d3,2.0.0,_win/
0033d2d4,2.0.0,_win/
0033d2d5,2.0.0,_win/
0033d2d6,2.0.0,_win/
0033d2d7,2.0.0,_win/
0033d2d8,2.0.0,_win/
0033d2d9,2.0.0,_win/
0033d2f0,2.0.0,_win/
0033d2f1,2.0.0,_win/
0033d2f3,2.0.0,_win/
0033d2f4,2.0.0,_win/
0033d2f5,2.0.0,_win/
0033d2f6,2.0.0,_win/
0033d2f7,2.0.0,_win/
0033d2f8,2.0.0,_win/
0033d2f9,2.0.0,_win/
0033d310,2.0.0,_win/
0033d311,2.0.0,_win/
0033d312,2.0.0,_win/
0033d313,2.0.0,_win/
0033d314,2.0.0,_win/
0033d315,2.0.0,_win/
0033d316,2.0.0,_win/
0033d317,2.0.0,_win/
0033d318,2.0.0,_win/
0033d330,2.0.0,_win/
0033d331,2.0.0,_win/
00accd51,2.0.0,_win/
00accd52,2.0.0,_win/
00accd53,2.0.0,_win/
00accd54,2.0.0,_win/
00accd55,2.0.0,_win/
00accd56,2.0.0,_win/
00accd57,2.0.0,_win/
00accd58,2.0.0,_win/
00accd59,2.0.0,_win/
00accd70,2.0.0,_win/
00accd71,2.0.0,_win/
00accd72,2.0.0,_win/
00accd73,2.0.0,_win/
00accd74,2.0.0,_win/
00accd75,2.0.0,_win/
00accd76,2.0.0,_win/
00accd77,2.0.0,_win/
00e11a3e,2.0.0,_win/
eve_tac_face_fix_new.bmp,2.0.0,_win/
oce_def_face.bmp,2.0.0,_win/
sub_maga.bmp,2.0.0,_win/
sub_maga_item.bmp,2.0.0,_win/
00163d74,2.0.0,ovr_stm/ctrltype_kbd/_win/
001e4234,2.0.0,ovr_stm/ctrltype_kbd/_win/
002a4e9e,2.0.0,ovr_stm/ctrltype_kbd/_win/
00360eea,2.0.0,ovr_stm/ctrltype_kbd/_win/
003d0d74,2.0.0,ovr_stm/ctrltype_kbd/_win/
004a230b,2.0.0,ovr_stm/ctrltype_kbd/_win/
0051fd77,2.0.0,ovr_stm/ctrltype_kbd/_win/
007a0eb6,2.0.0,ovr_stm/ctrltype_kbd/_win/
00b60ec2,2.0.0,ovr_stm/ctrltype_kbd/_win/
00ca8477,2.0.0,ovr_stm/ctrltype_kbd/_win/
00d9fd74,2.0.0,ovr_stm/ctrltype_kbd/_win/
00ddd547,2.0.0,ovr_stm/ctrltype_kbd/_win/
00e70eb8,2.0.0,ovr_stm/ctrltype_kbd/_win/
00e9d866,2.0.0,ovr_stm/ctrltype_kbd/_win/
bp_x_and_a_buttons,2.0.0,ovr_stm/ctrltype_kbd/_win/
004a230b,2.0.0,ovr_stm/ctrltype_nx/_win/
00ddd547,2.0.0,ovr_stm/ctrltype_nx/_win/


00386be9,2.0.1,_win/
bp_x_and_a_buttons,2.0.1,ovr_stm/ctrltype_nx/_win/
0053d847,2.0.1,ovr_stm/ctrltype_ps4/_win/
00e9d866,2.0.1,ovr_stm/ctrltype_ps4/_win/
bp_x_and_a_buttons,2.0.1,ovr_stm/ctrltype_ps4/_win/
00ddd547,2.0.1,ovr_stm/ctrltype_ps4/ovr_jp/_win/
00ddd547,2.0.1,ovr_stm/ctrltype_ps4/ovr_us/_win/
bp_x_and_a_buttons,2.0.1,ovr_stm/ctrltype_ps5/_win/
0053d847,2.0.1,ovr_stm/ctrltype_stmd/_win/
00ddd547,2.0.1,ovr_stm/ctrltype_stmd/_win/
00e9d866,2.0.1,ovr_stm/ctrltype_stmd/_win/
bp_x_and_a_buttons,2.0.1,ovr_stm/ctrltype_stmd/_win/
0053d847,2.0.1,ovr_stm/ctrltype_xs/_win/
00ddd547,2.0.1,ovr_stm/ctrltype_xs/_win/
00e9d866,2.0.1,ovr_stm/ctrltype_xs/_win/
bp_x_and_a_buttons,2.0.1,ovr_stm/ctrltype_xs/_win/